i,x,y,prod
1,8,286,95
2,24,638,99
3,43,41,114
4,44,937,69
5,49,973,44
6,68,541,116
7,192,450,72
8,220,166,67
9,260,860,102
10,271,450,71
11,313,215,61
12,328,797,100
13,336,665,28
14,403,278,37
15,436,655,106
16,457,994,40
17,476,581,43
18,491,205,42
19,510,189,113
20,555,753,60
21,574,786,74
22,595,604,21
23,631,205,99
24,635,455,30
25,643,139,90
26,673,803,90
27,706,838,116
28,749,634,56
29,750,265,46
30,759,147,90
31,767,750,107
32,821,422,105
33,876,514,87
34,880,198,41
35,887,670,43
36,919,336,84
37,928,310,41
38,972,423,112
39,976,373,91
40,987,667,26